week,date,notes,quiz,quiz_content,n_class,stub_class,name_class,description_class,project_name,project_description,n_assign,stub_assign,name_assign,due_assign,n_project,stub_project,name_project,due_project
1,2026/08/26,,,,1,getting-started,Getting Started,"Class orientation, intro to R, workflow, packages",Introductions,Introductions to each other and potential projects,1,agentic-workflows-and-github,,2026/08/31,,,,
2,2026/09/02,,,,2,agentic-workflows,Agentic Workflows,Intro to GitHub and agentic coding workflows,,,2,data-wrangling,,2026/09/07,,,,
3,2026/09/09,Use google spreadsheet,1,Weeks 1-2,3,data-wrangling,Data Wrangling,"Importing, wrangling, and summarizing data in R",Decision Variables,Distinguishing between decision variables and product attributes,,,<b>Finish Proposals!</b>,,1,proposal,Proposal,2026/09/20
4,2026/09/16,,,,,,Project Workshop,Team meetings to discuss project proposals (held remotely),,,3,quarto-plotting,,2026/09/21,2,survey-plan,Survey Plan,2026/09/29
5,2026/09/23,Use google doc,2,Week 3,5,quarto-plotting,Quarto & Plotting,"Intro to ""literate programming"" with Quarto and plotting with {ggplot2}",Project Scope,"Defining attribute levels, target survey population, competitors",4,intro-to-surveydown,,2026/09/28,,,,
6,2026/09/30,"Just basic surveys: markdown, images, code, randomization",,,6,intro-to-surveydown,Intro to surveydown,,Survey Plan 1,Make survey plan,5,conjoint-questions,,2026/10/05,3,pilot-survey,Pilot Survey,2026/10/13
7,2026/10/07,Demo cbc_design(); labeled vs. non-labeled surveys,3,Week 5,7,conjoint-questions,Conjoint Questions,"Generating conjoint questions in R, implementing in surveydown",Survey Plan 2,Begin implementing survey plan in surveydown,6,utility-models,,2026/10/12,,,,
8,2026/10/14,,,,8,utility-models,Utility Models,"Intro to utility models, discrete vs. continuous parameters, parameter coding",Pilot Survey,Finish implementing pilot survey in surveydown,7,optimization-mle,,2026/10/19,,,,
9,2026/10/21,"MLE practice questions, importing data from surveydown, joins;  Also for HW, everyone takes everyone else's pilot surveys",4,Week 8,9,optimization-mle,Optimization & MLE,"Optimization, maximum likelihood estimation",Pilot Analysis 1,"Import & clean pilot data, joins",8,uncertainty,,2026/10/26,4,pilot-analysis,Pilot Analysis,2026/11/01
10,2026/10/28,"Uncertainty, pivot_longer / pivot_wider, creating choice data and estimating models",,,10,uncertainty,Uncertainty,Computing uncertainty in coefficient estimates,Pilot Analysis 2,"Reshaping data (tidy data), estimating models",9,doe-power-analysis,,2026/11/02,,,,
11,2026/11/04,"DOE, sample size calculations, plotting results",5,Week 9,11,doe-power-analysis,DOE & Power Analysis,Designing your survey to reduce error,Pilot Analysis 3,"Refine attributes & levels, conduct power analysis, plot results",10,wtp-simulation,,2026/11/09,5,final-survey,Final Survey,2026/11/15
12,2026/11/11,"WTP, market simulations using pilot data",,,12,wtp-simulation,WTP & Simulation,"Computing WTP, WTP space models, market simulations",WTP & Simulation,"Compute WTP, define market simulations, finalize final survey",11,heterogeneity,,2026/11/16,,,,
13,2026/11/18,"Two groups, mixed logit",6,Week 12,13,heterogeneity,Heterogeneity,Modeling differences in preferences across sample population,Heterogeneity,Estimate mixed logit and subpopulation models on pilot data,12,sensitivity,,2026/11/22,6,final-analysis,Final Analysis,2026/12/06
14,2026/11/25,,,,,,Thanksgiving - no class,,Final Survey Fielding,Collecting data for final survey,13,take-home-analysis,,2026/11/29,,,,
15,2026/12/02,"FINAL EXAM in class (45 min, closed book, on paper), then go over solutions, what should be in your final report, what makes for a good presentation",,,14,exam-story-telling,Exam & Story Telling,"Final exam (in class), then discuss tips for how to give a good talk",,,,,,,,,,
16,2026/12/09,,,,15,final-presentations,Final Presentations,In-class presentation showcase w/Q&A,,,,,,,7,final-presentation,Final Presentation,2026/12/08
